// Compost colors for cobblemon. You may add your own colors, change existing ones, or remove colors that aren't needed.
ability_capsule, #b2c5ff
ability_patch, #d3ffff
ability_shield, #ebe6ff
absorb_bulb, #c38d30
adamant_mint, #ac515c
aguav_berry, #a0dd46
air_balloon, #d7484a
ancient_azure_ball, #7d91ac
ancient_azure_rod, #181c20
ancient_citrine_ball, #d6bf70
ancient_citrine_rod, #292312
ancient_feather_ball, #84aaab
ancient_feather_rod, #1b2022
ancient_gigaton_ball, #bcbcbc
ancient_gigaton_rod, #1b1b1c
ancient_great_ball, #9191a1
ancient_great_rod, #1f1b1c
ancient_heavy_ball, #bfbfbf
ancient_heavy_rod, #181819
ancient_ivory_ball, #b5b6b9
ancient_ivory_rod, #262522
ancient_jet_ball, #89aeae
ancient_jet_rod, #1b2222
ancient_leaden_ball, #bebebe
ancient_leaden_rod, #19191b
ancient_origin_ball, #dc6e65
ancient_origin_rod, #2d1b1c
ancient_poke_ball, #d78d6c
ancient_poke_rod, #2a1915
ancient_roseate_ball, #d69d93
ancient_roseate_rod, #2d1c1b
ancient_slate_ball, #898375
ancient_slate_rod, #1b1918
ancient_ultra_ball, #afa47a
ancient_ultra_rod, #1f1c16
ancient_verdant_ball, #84ab78
ancient_verdant_rod, #1b2215
ancient_wing_ball, #96b5b5
ancient_wing_rod, #1c2223
antidote, #ffe89d
apicot_berry, #2aa77d
apricorn_boat, #bc8423
apricorn_chest_boat, #a87928
apricorn_door, #c99740
apricorn_hanging_sign, #c69337
apricorn_sign, #ca902a
aprijuice_black, #6e7586
aprijuice_blue, #4b90de
aprijuice_green, #6fb832
aprijuice_pink, #ff84b9
aprijuice_red, #f15f54
aprijuice_white, #dcd4da
aprijuice_yellow, #ffc246
armor_fossil, #ed8e57
aspear_berry, #cdd23a
assault_vest, #f14e54
auspicious_armor, #b29351
automaton_armor_trim_smithing_template, #758c8c
awakening, #aaebf4
azure_ball, #5e96de
azure_rod, #1c2229
babiri_berry, #acdc69
beast_ball, #a8bbb9
beast_rod, #222932
belue_berry, #918eac
berry_juice, #d9d987
berry_sweet, #4470c8
big_malasada, #ffa74e
big_root, #d4ab6b
binding_band, #915719
black_apricorn, #786c69
black_apricorn_seed, #8d6e4a
black_augurite, #938997
black_belt, #524654
black_glasses, #625a62
black_sludge, #696283
black_tumblestone, #668376
black_tumblestone_cluster, #759084
blue_apricorn, #5a82b5
blue_apricorn_seed, #768286
blue_mint_leaf, #3462dd
blue_mint_seeds, #305cd0
bluk_berry, #696bc2
blunder_policy, #ffff93
bold_mint, #5152af
brave_mint, #af4d3a
bright_powder, #83cd93
brittle_candy, #c5d0ee
bug_gem, #f2ff69
burn_heal, #a8f1bf
bygone_sherd, #8a4d3e
calcium, #e4af78
calm_mint, #fb5293
campfire_pot_black, #767f8e
campfire_pot_blue, #52aaf4
campfire_pot_green, #8ecf58
campfire_pot_pink, #ffa4da
campfire_pot_red, #f27269
campfire_pot_white, #ffffff
campfire_pot_yellow, #fcc95f
candied_apple, #ff5243
candied_berry, #ff7298
capture_sherd, #935143
carbos, #aac9b5
careful_mint, #de73b9
casteliacone, #e4ffff
cell_battery, #a5d9f8
charcoal_stick, #4a4152
charti_berry, #c6c036
cheri_berry, #84783c
cherish_ball, #e34e41
cherish_rod, #251515
chesto_berry, #978ca5
chilan_berry, #e8c55c
chipped_pot, #b6ddc2
choice_band, #dac6c8
choice_scarf, #6fbef7
choice_specs, #ffc666
chople_berry, #dd2d32
citrine_ball, #f1c35e
citrine_rod, #2f2618
claw_fossil, #b6b13d
cleanse_tag, #e1b9b9
clear_amulet, #deaf8c
clever_feather, #e6f1ff
clever_mochi, #fff43d
clover_sweet, #5c9726
coarse_mulch, #ccb2a1
coba_berry, #25abea
colbur_berry, #f557aa
cornn_berry, #abb278
courage_candy, #b6ffb2
cover_fossil, #8780c2
covert_cloak, #5f6b84
coward_candy, #c2debf
cracked_pot, #b2d4b9
custap_berry, #ff8e62
cyan_mint_leaf, #4ecdee
cyan_mint_seeds, #4ac2e1
damp_rock, #8eddde
