// Compost colors for dtbwg. You may add your own colors, change existing ones, or remove colors that aren't needed.
allium_seed, #f1e3f7
araucaria_seed, #b9b2a7
aspen_seed, #ffffff
baobab_seed, #ffffff
blue_enchanted_seed, #c8d2fa
blue_spruce_seed, #8e9398
brown_zelkova_seed, #f0deca
cika_seed, #ffffe8
cypress_seed, #fffae3
ebony_seed, #ffffff
fir_seed, #ffffff
giga_blue_spruce_seed, #374458
giga_orange_spruce_seed, #723e26
giga_red_spruce_seed, #682829
giga_spruce_seed, #9b8769
giga_yellow_spruce_seed, #7f6c2a
green_enchanted_seed, #ffffff
green_mushroom_seed, #ffffff
holly_seed, #fffff8
indigo_jacaranda_seed, #d2c3d3
ironwood_seed, #ffffff
jacaranda_seed, #d6c2c9
mahogany_seed, #e3cdc9
maple_seed, #ffffff
mega_blue_spruce_seed, #323a48
mega_cypress_seed, #e0d9bc
mega_fir_seed, #9e9487
mega_holly_seed, #fff0dc
mega_indigo_jacaranda_seed, #78617d
mega_jacaranda_seed, #8e707c
mega_mahogany_seed, #a07d78
mega_orange_spruce_seed, #653c25
mega_palm_seed, #fffade
mega_pine_seed, #82796f
mega_rainbow_eucalyptus_seed, #9e8d64
mega_red_spruce_seed, #6b2c2f
mega_willow_seed, #bfd297
mega_yellow_spruce_seed, #796826
orange_birch_seed, #ffffff
orange_spruce_seed, #aa8a79
orchard_seed, #ffffff
palm_seed, #ffffff
palo_verde_seed, #a5d74d
pine_seed, #f8f4ed
pink_allium_seed, #f7e3eb
poplar_seed, #ffffff
rainbow_eucalyptus_seed, #ccbfa0
red_maple_seed, #ffffff
red_spruce_seed, #af7c7d
redwood_seed, #fffff8
rose_seed, #ffffe8
silver_maple_seed, #ffffff
skyris_seed, #ffffff
spirit_seed, #edeeff
weeping_milkcap_seed, #ffffff
white_allium_seed, #faffff
white_mangrove_seed, #ffffff
white_sakura_seed, #ffffff
willow_seed, #d9e7b9
witch_hazel_seed, #988050
wood_blewit_seed, #ffffff
yellow_birch_seed, #ffffff
yellow_poplar_seed, #ffffff
yellow_sakura_seed, #ffffff
yellow_spruce_seed, #cabb84
yucca_seed, #cdcac3
zelkova_seed, #e4d0af
