// Compost colors for cobblenav. You may add your own colors, change existing ones, or remove colors that aren't needed.
fishingnav_item, #2fb2d2
pokefinder_item_black, #aabec2
pokefinder_item_blue, #a0c6de
pokefinder_item_green, #aad3a7
pokefinder_item_pink, #e0bfd3
pokefinder_item_red, #d7b5b2
pokefinder_item_white, #cdddde
pokefinder_item_yellow, #ded6ac
pokenav_item_base, #edbf83
pokenav_item_black, #414748
pokenav_item_blue, #1f80f2
pokenav_item_brown, #78654d
pokenav_item_cyan, #46abc8
pokenav_item_gholdengo, #ffd058
pokenav_item_gray, #83898a
pokenav_item_green, #3db12c
pokenav_item_light_blue, #83beff
pokenav_item_light_gray, #a8acaf
pokenav_item_lime, #90dd5b
pokenav_item_magenta, #d76ec6
pokenav_item_old, #caae8d
pokenav_item_orange, #fba252
pokenav_item_pink, #fb94c6
pokenav_item_purple, #b572de
pokenav_item_red, #eb6864
pokenav_item_wanderer, #75524a
pokenav_item_white, #c6cacc
pokenav_item_yellow, #f4dc65
