// Compost colors for dtterralith. You may add your own colors, change existing ones, or remove colors that aren't needed.
amethyst_seed, #ffffff
ancient_seed, #ffffff
birch_pine_seed, #f5f0cc
black_poplar_seed, #ffffff
blue_pine_seed, #d7eaf7
cedar_seed, #fffffb
dwarf_pine_seed, #ffffff
dwarf_spruce_seed, #fcf4e4
ebony_seed, #aca790
giga_spruce_seed, #9b8769
jacaranda_seed, #f0ebf5
kapok_seed, #e0d7d4
larch_seed, #d3c3b5
lush_acacia_seed, #ffffff
maple_seed, #fce8dd
mega_ancient_seed, #f1feeb
mega_blue_pine_seed, #a1b5c3
mega_larch_seed, #a28e7d
mega_mirage_seed, #d7fbf7
mega_oasis_seed, #ffffd0
mega_orange_pine_seed, #d49d8a
mega_red_pine_seed, #ca8d8d
mirage_seed, #ffffff
moonlight_pine_seed, #dde4d4
moonlight_spruce_seed, #daebda
oasis_seed, #ffffff
orange_pine_seed, #ffdcca
poplar_seed, #ffffff
red_pine_seed, #ffc3c3
sakura_seed, #fffffe
silverleaf_poplar_seed, #ffffff
